year,state,total_residents,per_pop_age0-18,per_pop_age19-25,per_pop_age26-34,per_pop_age35-54,per_pop_age55-64,per_pop_age65,per_citizen,per_noncitizen,percent_male,percent_female,per_white,per_black,per_hispanic,per_asian,per_native,per_pacific,per_two_or_more_races,per_fpv<100,per_fpv100-199,per_fpv200-399,per_fpv>400,med_house_income,unemployment_rate,avg_monthly_SNAP_participants,expend_per_cap,forclosure_rate,per_change_mon_umployment,per_change_mon_SNAP,economic_distress_rank,any_mental_illness,serious_mental_illness,cancer_death_rate,death_rate,cvs_death_rate,firearm_death_rate,opioid_od_death_rate,all_drug_od_death_rate,flu_pna_death,percent_smoke_2017,reported_poor_health_2017,expansion,total_medicaid_enrol,expansion_enroll,expansion_group_newly_eligible,hosp_expense_inpatient_day,hosp_rate_gov_hosp,hosp_rate_nonprofit_hosp,hosp_rate_forprofit_hosp,hosp_rate_total,2013_uninsured,2016_uninsured,2013_2016_change_uninsured,herfindahl_hirschman_Index,market_share_largest_insure,no_insure_>5%_mark_share,gross_margins_per_member,total_pc_hpsa,pop_hpsa,percent_needs_met,no_practitioners_needed,percent_hdhp,state_quality_rank.x,state_quality_value.x,avg_fam_prem_employee_cont.x,avg_fam_prem_employer_cont.x,avg_fam_prem_total.x,avg_fam_prem_employee_cont.y,avg_fam_prem_employer_cont.y,avg_fam_prem_total.y,avg_sing_prem_employee_cont,avg_sing_prem_employer_cont,avg_sing_prem_total,hc_exp_per_cap_2014,avg_bench_mktplace_prem,per_pot_mkt_pop_enrol,no_insur_provid,insur_spend_per_cap_2014,not_hav_pcp_2017,state_quality_rank.y,state_quality_value.y
2016,Alabama,4834100,0.24,0.09,0.11,0.26,0.14,0.16,0.98,0.02,0.48,0.52,0.66,0.27,0.04,NA,NA,NA,0.01,0.1646,0.1865,0.2983,0.3505,47221,0.06,850804,5313,1277,-0.057,-0.06,31,0.181,0.041,174,920.4,222.5,21.5,7.5,16.2,17.1,0.209,0.233,0,1050100,NA,NA,1479.77,377,154,201,731,0.203,0.141,-0.062,6162,0.76,3,7,99,1919497,0.5758,278,0.392,47,-0.793,4640,12262,2016,4640,12262,2016,1593,4482,6075,7281,297,0.33,3,3641,0.208,47,-0.793
2016,Alaska,710800,0.28,0.1,0.15,0.23,0.12,0.12,0.96,0.04,0.51,0.49,0.6,0.03,0.07,0.05,0.17,0.02,0.07,0.1302,0.1421,0.278,0.4497,75723,0.066,82326,13522,5380,0.032,0.019,23,0.189,0.043,158.7,745.6,141,23.3,12.5,16.8,12.5,0.21,0.177,1,155700,22900,22900,2447.07,65,368,86,519,0.23,0.176,-0.054,4953,0.54,2,168,86,116708,0.2915,29,0.52,30,-0.031,6264,16153,2016,6264,16153,2016,1514,6450,7964,11064,719,0.35,2,5958,0.313,30,-0.031
2016,Arizona,6890200,0.25,0.1,0.11,0.26,0.12,0.16,0.91,0.09,0.49,0.51,0.54,0.04,0.34,0.03,0.02,NA,0.01,0.1625,0.1881,0.2847,0.3647,57100,0.051,960105,5725,1287,-0.09,-0.028,24,0.17,0.039,136.8,675.8,138.9,15.2,11.4,20.3,10.4,0.156,0.192,1,1904800,425800,112900,2479.34,29,313,90,431,0.236,0.136,-0.101,2783,0.42,4,-11,216,4770858,0.4509,837,0.58,29,-0.02,6006,12426,2016,6006,12426,2016,1523,4694,6217,6452,239,0.34,8,4035,0.274,29,-0.02
2016,Arkansas,2945300,0.25,0.09,0.12,0.25,0.12,0.16,0.96,0.04,0.49,0.51,0.72,0.15,0.07,NA,0.01,NA,0.02,0.1614,0.1913,0.3359,0.3114,45907,0.04,426069,8018,1595,-0.162,-0.125,50,0.205,0.053,178.8,893.2,223.7,17.8,5.9,14,17.1,0.223,0.242,1,960600,321000,310800,1707.33,82,407,117,606,0.241,0.117,-0.124,5039,0.68,3,18,103,656572,0.626,92,0.396,48,-0.834,4748,11915,2016,4748,11915,2016,1253,4469,5722,7408,298,0.24,4,3906,0.195,48,-0.834
2016,California,39188300,0.25,0.1,0.13,0.26,0.12,0.14,0.87,0.13,0.5,0.5,0.38,0.05,0.39,0.15,0.01,0.01,0.02,0.1398,0.1786,0.276,0.4055,66637,0.053,4340042,6392,1521,-0.052,-0.039,27,0.168,0.035,139.7,616.9,143.1,7.9,4.9,11.2,14,0.113,0.176,1,13189700,3673900,3673900,3421.19,84,277,72,432,0.239,0.104,-0.135,2519,0.3,4,NA,640,7932713,0.4588,1443,0.384,16,0.346,5359,13371,2016,5359,13371,2016,1433,4862,6295,7549,312,0.47,12,4735,0.245,16,0.346
2016,Colorado,5509200,0.24,0.09,0.14,0.26,0.12,0.15,0.94,0.06,0.5,0.5,0.7,0.04,0.19,0.04,NA,NA,0.02,0.086,0.1395,0.296,0.4784,70566,0.032,475690,6629,1479,-0.003,-0.034,21,0.194,0.045,137.1,669.5,129.8,14.3,9.5,16.6,9.6,0.146,0.145,1,1338700,450900,448600,2866.32,80,233,83,396,0.183,0.102,-0.081,2664,0.36,4,-1,123,1068743,0.3841,225,0.644,10,0.559,5267,14072,2016,5267,14072,2016,1375,5081,6456,6804,307,0.22,8,4623,0.261,10,0.559
2016,Connecticut,3570300,0.23,0.1,0.12,0.26,0.14,0.16,0.93,0.07,0.49,0.51,0.67,0.1,0.16,0.05,NA,<.01,NA,0.0992,0.1215,0.2716,0.5077,75923,0.048,431597,8903,1161,-0.03,-0.032,12,0.177,0.035,144.9,654,144.3,4.6,24.5,27.4,11.7,0.127,0.145,1,862800,216900,201600,2704.6,10,531,5,546,0.132,0.068,-0.064,3878,0.54,3,-13,41,458794,0.0023,155,0.564,3,0.747,5429,14591,2016,5429,14591,2016,1670,5342,7012,9859,353,0.35,4,5187,0.146,3,0.747
2016,Delaware,948200,0.23,0.09,0.12,0.25,0.14,0.17,0.94,0.06,0.48,0.52,0.62,0.21,0.11,0.03,NA,<.01,0.02,0.1177,0.1424,0.3318,0.4082,58046,0.043,147559,10751,353,-0.101,0.032,9,0.173,0.041,170.8,746.2,163.2,11,16.9,30.8,10.7,0.17,0.188,1,221800,67900,11500,3145.56,NA,534,11,545,0.142,0.079,-0.063,8034,0.89,2,-23,13,233024,0.3191,55,0.574,31,-0.077,6533,12874,2016,6533,12874,2016,1535,5511,7046,10254,356,0.42,2,4806,0.184,31,-0.077
2016,Florida,20545300,0.22,0.08,0.12,0.26,0.13,0.19,0.89,0.11,0.48,0.52,0.55,0.15,0.26,0.03,<.01,NA,0.01,0.1304,0.1964,0.3139,0.3593,51176,0.049,3454530,3509,890,-0.043,-0.1,27,0.168,0.035,146.9,666.6,146.2,12.6,14.4,23.7,9.3,0.161,0.194,0,4036400,NA,NA,2091.2,98,310,211,619,0.288,0.184,-0.104,2466,0.44,6,69,264,5990814,0.2182,1609,0.646,36,-0.307,5568,11621,2016,5568,11621,2016,1442,4626,6068,8076,287,0.58,7,4606,0.28,36,-0.307
2016,Georgia,10280800,0.26,0.09,0.12,0.27,0.13,0.13,0.93,0.07,0.48,0.52,0.52,0.32,0.1,0.04,NA,NA,0.02,0.1547,0.1956,0.283,0.3667,53527,0.054,1733473,4610,1023,-0.03,-0.055,21,0.172,0.04,160.2,800.4,179,15,8.8,13.3,14.3,0.175,0.185,0,1874300,NA,NA,1739.63,73,465,63,601,0.258,0.18,-0.078,2068,0.32,6,-24,239,3239213,0.4385,612,0.603,41,-0.464,5466,12237,2016,5466,12237,2016,1299,4550,5849,6587,287,0.41,8,4406,0.275,41,-0.464
