year,state,pop_2016.x,pct_pop_age0-18_2016,pct_pop_age19-25_2016,pct_pop_age26-34_2016,pct_pop_age35-54_2016,pct_pop_age55-64_2016,pct_pop_age65_2016,pct_citizen_2016,pct_male_2016,pct_female_2016,pct_white_2016,pct_black_2016,pct_hispanic_2016,pct_asian_2016,pct_native_2016,pct_pacific_2016,pct_two_or_more_races_2016,pct_fpv<100_2016,pct_fpv100-199_2016,pct_fpv200-399_2016,pct_fpv>400_2016,med_house_income_2016,pct_unemployed_2016,avg_monthly_SNAP_2016,expend_per_cap_2016,forclosure_rate_2016,pct_change_monthly_umployment_2016,pct_change_monthly_SNAP_2016,economic_distress_rank_2016,pct_any_mental_illness_2016,pct_serious_mental_illness_2016,any_mental_illness_2016,serious_mental_illness_2016,cancer_death_rate_2016,death_rate_2016,cvs_death_rate_2016,firearm_death_rate_2016,opioid_od_death_rate_2016,all_drug_od_death_rate_2016,flu_pna_death_2016,pct_smoke_2017,reported_poor_health_2017,expansion_2017,total_medicaid_enroll_2017,expansion_group_enrolled_2017,expansion_group_newly_eligible_enrolled_2017,hosp_expense_inpatient_day_2016,hosp_rate_gov_hosp_2016,hosp_rate_nonprofit_hosp_2016,hosp_rate_forprofit_hosp_2016,hosp_rate_total_2016,pct_uninsured_2013,pct_uninsured_2016,pct_change_uninsured_2013_2016,herfindahl_hirschman_Index_2016,market_share_largest_insure_2016,no_insure_>5%_mark_share_2016,gross_margins_per_member_2016,total_pc_hpsa_2017,pop_hpsa_2017,pct_needs_met_2017,no_practitioners_needed_2017,pct_hdhp_2017,avg_fam_prem_employee_cont_2017,avg_fam_prem_employer_cont_2017,avg_fam_prem_total_2017,avg_sing_prem_employee_cont_2017,avg_sing_prem_employer_cont_2017,avg_sing_prem_total_2017,hc_exp_per_cap_2014,avg_bench_mktplace_prem,pct_pot_mkt_pop_enrol_2016,no_insur_provid_2016,insur_spend_per_cap_2014,pct_not_hav_pcp_2017,quality_rank_2016,quality_value_2016,no_pcp_2018,no_specialist_2018,no_total_md_2018,pop_2016.y,land_area,pop_density,no_pcp_per_pop,no_specialists_per_pop,(no_total_md_pop = (no_total_md_2018/pop_2016.x) * 1000)
2016,Alabama,4834100,24,9,11,26,14.000000000000002,16,98,48,52,0.66,0.27,0.04,NA,NA,NA,0.01,16.46,18.65,29.830000000000002,35.05,47221,6,850804,5313,1277,-5.7,-6,31,0.181,0.041,NA,NA,174,920.4,222.5,21.5,7.5,16.2,17.1,0.209,0.233,0,1050100,NA,NA,1479.77,377,154,201,731,20.3,14.099999999999998,-6.2,6162,76,3,7,99,1919497,57.58,278,39.2,4640,12262,16902,1593,4482,6075,7281,297,33,3,3641,20.8,47,-0.793,5788,6165,11953,4834100,50750,95.25320197044336,1.1973273204939907,1.275314950042407,2.4726422705363977
2016,Alaska,710800,28.000000000000004,10,15,23,12,12,96,51,49,0.6,0.03,0.07,0.05,0.17,0.02,0.07,13.020000000000001,14.21,27.800000000000004,44.97,75723,6.6000000000000005,82326,13522,5380,3.2,1.9,23,0.189,0.043,NA,NA,158.7,745.6,141,23.3,12.5,16.8,12.5,0.21,0.177,1,155700,22900,22900,2447.07,65,368,86,519,23,17.599999999999998,-5.4,4953,54,2,168,86,116708,29.15,29,52,6264,16153,22417,1514,6450,7964,11064,719,35,2,5958,31.3,30,-0.031,1026,837,1863,710800,570641,1.245616771315065,1.4434440067529544,1.1775464265616207,2.6209904333145753
2016,Arizona,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,0.02,NA,0.01,16.25,18.81,28.470000000000002,36.47,57100,5.1,960105,5725,1287,-9,-2.8000000000000003,24,0.17,0.039,NA,NA,136.8,675.8,138.9,15.2,11.4,20.3,10.4,0.156,0.192,1,1904800,425800,112900,2479.34,29,313,90,431,23.599999999999998,13.600000000000001,-10.100000000000001,2783,42,4,-11,216,4770858,45.09,837,57.99999999999999,6006,12426,18432,1523,4694,6217,6452,239,34,8,4035,27.400000000000002,29,-0.02,8456,9247,17703,6890200,113642,60.630752714665356,1.2272502975240196,1.342051028997707,2.569301326521727
2016,Arkansas,2945300,25,9,12,25,12,16,96,49,51,0.72,0.15,0.07,NA,0.01,NA,0.02,16.14,19.13,33.589999999999996,31.14,45907,4,426069,8018,1595,-16.2,-12.5,50,0.205,0.053,NA,NA,178.8,893.2,223.7,17.8,5.9,14,17.1,0.223,0.242,1,960600,321000,310800,1707.33,82,407,117,606,24.099999999999998,11.700000000000001,-12.4,5039,68,3,18,103,656572,62.6,92,39.6,4748,11915,16663,1253,4469,5722,7408,298,24,4,3906,19.5,48,-0.834,3473,3609,7082,2945300,52075,56.55880940950552,1.1791668081349949,1.225342070417275,2.4045088785522695
2016,California,39188300,25,10,13,26,12,14.000000000000002,87,50,50,0.38,0.05,0.39,0.15,0.01,0.01,0.02,13.98,17.86,27.6,40.550000000000004,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,0.168,0.035,NA,NA,139.7,616.9,143.1,7.9,4.9,11.2,14,0.113,0.176,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.879999999999995,1443,38.4,5359,13371,18730,1433,4862,6295,7549,312,47,12,4735,24.5,16,0.346,52890,57712,110602,39188300,155973,251.25053695190834,1.3496375193616463,1.4726844491850883,2.8223219685467344
2016,Colorado,5509200,24,9,14.000000000000002,26,12,15,94,50,50,0.7,0.04,0.19,0.04,NA,NA,0.02,8.6,13.950000000000001,29.599999999999998,47.839999999999996,70566,3.2,475690,6629,1479,-0.3,-3.4000000000000004,21,0.194,0.045,NA,NA,137.1,669.5,129.8,14.3,9.5,16.6,9.6,0.146,0.145,1,1338700,450900,448600,2866.32,80,233,83,396,18.3,10.2,-8.1,2664,36,4,-1,123,1068743,38.41,225,64.4,5267,14072,19339,1375,5081,6456,6804,307,22,8,4623,26.1,10,0.559,7109,7238,14347,5509200,103730,53.11096114913718,1.2903869890365207,1.3138023669498295,2.60418935598635
2016,Connecticut,3570300,23,10,12,26,14.000000000000002,16,93,49,51,0.67,0.1,0.16,0.05,NA,<.01,NA,9.92,12.15,27.16,50.77,75923,4.8,431597,8903,1161,-3,-3.2,12,0.177,0.035,NA,NA,144.9,654,144.3,4.6,24.5,27.4,11.7,0.127,0.145,1,862800,216900,201600,2704.6,10,531,5,546,13.200000000000001,6.800000000000001,-6.4,3878,54,3,-13,41,458794,0.22999999999999998,155,56.39999999999999,5429,14591,20020,1670,5342,7012,9859,353,35,4,5187,14.6,3,0.747,6886,8390,15276,3570300,4845,736.9040247678018,1.9286894658712153,2.349942581855866,4.278632047727082
2016,Delaware,948200,23,9,12,25,14.000000000000002,17,94,48,52,0.62,0.21,0.11,0.03,NA,<.01,0.02,11.77,14.24,33.18,40.82,58046,4.3,147559,10751,353,-10.100000000000001,3.2,9,0.173,0.041,NA,NA,170.8,746.2,163.2,11,16.9,30.8,10.7,0.17,0.188,1,221800,67900,11500,3145.56,NA,534,11,545,14.2,7.9,-6.3,8034,89,2,-23,13,233024,31.91,55,57.4,6533,12874,19407,1535,5511,7046,10254,356,42,2,4806,18.4,31,-0.077,1506,1553,3059,948200,1955,485.01278772378515,1.5882725163467624,1.6378401181185402,3.2261126344653026
2016,Florida,20545300,22,8,12,26,13,19,89,48,52,0.55,0.15,0.26,0.03,<.01,NA,0.01,13.04,19.64,31.39,35.93,51176,4.9,3454530,3509,890,-4.3,-10,27,0.168,0.035,NA,NA,146.9,666.6,146.2,12.6,14.4,23.7,9.3,0.161,0.194,0,4036400,NA,NA,2091.2,98,310,211,619,28.799999999999997,18.4,-10.4,2466,44,6,69,264,5990814,21.82,1609,64.60000000000001,5568,11621,17189,1442,4626,6068,8076,287,57.99999999999999,7,4606,28.000000000000004,36,-0.307,27031,28971,56002,20545300,53997,380.48965683278703,1.3156780382861286,1.4101035273274178,2.7257815656135467
2016,Georgia,10280800,26,9,12,27,13,13,93,48,52,0.52,0.32,0.1,0.04,NA,NA,0.02,15.47,19.56,28.299999999999997,36.67,53527,5.4,1733473,4610,1023,-3,-5.5,21,0.172,0.04,NA,NA,160.2,800.4,179,15,8.8,13.3,14.3,0.175,0.185,0,1874300,NA,NA,1739.63,73,465,63,601,25.8,18,-7.8,2068,32,6,-24,239,3239213,43.85,612,60.3,5466,12237,17703,1299,4550,5849,6587,287,41,8,4406,27.500000000000004,41,-0.464,12335,12576,24911,10280800,57919,177.50306462473455,1.1998093533577152,1.2232511088631235,2.423060462220839
