"","x","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"1",9,3.5,"Blue Cross and Blue Shield of Alabama","AL","PPO","Yes",4.5,3.5,2.5,"Commercial","Blue"
"2",10,3,"Aetna Life Insurance Company (Alabama)","AL","PPO/EPO","Yes",3,2,2.5,"Commercial","Aetna"
"3",11,3,"United Healthcare Services, Inc (Alabama)","AL","PPO","Yes",3,2.5,2.5,"Commercial","United"
"4",12,3,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",3,2.5,2.5,"Commercial","United"
"5",13,1.5,"American Postal Workers Union Health Plan","AL","PPO","No",4,0.5,1.5,"Commercial","Other"
"6",91,4,"Aetna Health Inc. - (Pennsylvania) Alabama CMS Contract: H3931","AL","HMO","Yes",3.5,3,3.5,"Medicare","Aetna"
"7",101,4,"Aetna Life Insurance Company (Alabama) CMS Contract: H5521","AL","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"8",111,4,"Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN) CMS Contract: H2001","AL","PPO","Yes",4,5,3.5,"Medicare","Other"
"9",121,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","AL","PPO","No",3.5,4,3.5,"Medicare","Other"
"10",131,3.5,"UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN) CMS Contract: H2228","AL","PPO","Yes",3,3.5,3,"Medicare","United"
"11",141,3.5,"UnitedHealthcare of the Midlands, Inc. (AL) CMS Contract: H2802","AL","HMO/POS","Yes",3.5,3.5,3,"Medicare","United"
"12",151,3,"Care Improvement Plus South Central Insurance Company CMS Contract: H5322","AL","HMO/POS","No",3.5,3.5,2.5,"Medicare","Care Improvement"
"13",161,3,"HealthSpring of Alabama, Inc. CMS Contract: H0150","AL","HMO","No",3,4,2.5,"Medicare","HealthSpring"
"14",171,3,"Humana Benefit Plan of Illinois, Inc. CMS Contract: H5525","AL","PPO","No",4,3,3,"Medicare","Humana"
"15",92,3,"Aetna Life Insurance Company (Alaska)","AK","PPO/EPO","Yes",2,2.5,3,"Commercial","Aetna"
"16",102,3,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2.5,2.5,"Commercial","Blue"
"17",112,1.5,"American Postal Workers Union Health Plan","AK","PPO","No",4,0.5,1.5,"Commercial","Other"
"18",93,4,"Sierra Health and Life Insurance Company, Inc. (AK) CMS Contract: H2001","AK","PPO","Yes",4,5,3.5,"Medicare","Other"
"19",103,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","AK","PPO","No",3.5,4,3.5,"Medicare","Other"
"20",94,3.5,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",3,3,2.5,"Commercial","Cigna"
"21",104,3.5,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna"
"22",113,3.5,"Health Net of Arizona, Inc.","AZ","HMO","Yes",3,3,2.5,"Commercial","Health Net"
"23",123,3.5,"United HealthCare Services, Inc. (Arizona)","AZ","PPO","Yes",2,3.5,3,"Commercial","United"
"24",133,3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2,3.5,3,"Commercial","United"
"25",143,3.5,"UnitedHealthcare of Arizona, Inc. Special Area: Arizona","AZ","HMO","Yes",3.5,3.5,3,"Commercial","United"
"26",153,3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2,2,3,"Commercial","Aetna"
"27",163,3,"Aetna Life Insurance Company (Arizona)","AZ","PPO/EPO","Yes",2.5,2,2.5,"Commercial","Aetna"
"28",173,3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",2,2.5,3,"Commercial","Humana"
"29",181,1.5,"American Postal Workers Union Health Plan","AZ","PPO","No",4,0.5,1.5,"Commercial","Other"
"30",95,4,"Aetna Health Inc. (Pennsylvania) - Arizona CMS Contract: H3931","AZ","HMO","Yes",3.5,3,3.5,"Medicare","Aetna"
"31",105,4,"Aetna Life Insurance Company (Arizona) CMS Contract: H5521","AZ","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"32",114,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV) CMS Contract: H0609","AZ","HMO","Yes",3,3.5,3.5,"Medicare","Other"
"33",124,4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV) CMS Contract: H2001","AZ","PPO","Yes",4,5,3.5,"Medicare","Other"
"34",134,3.5,"Cigna HealthCare of Arizona, Inc. CMS Contract: H0354","AZ","HMO","No",3.5,4,3.5,"Medicare","Cigna"
"35",144,3.5,"Humana Health Plan, Inc. (Arizona) CMS Contract: H2649","AZ","HMO","Yes",2.5,3,3,"Medicare","Humana"
"36",154,3.5,"Humana Insurance Company (Arizona) CMS Contract: H5216","AZ","PPO","Yes",3.5,4,3,"Medicare","Humana"
"37",164,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","AZ","PPO","No",3.5,4,3.5,"Medicare","Other"
"38",174,3.5,"UnitedHealthcare Insurance Company (AZ,CA,NV) CMS Contract: H2228","AZ","PPO","Yes",3,3.5,3,"Medicare","United"
"39",182,3.5,"UnitedHeatlhcare of Wisconsin, Inc. (Arizona) CMS Contract: H5253","AZ","HMO/POS","Yes",3.5,4,3,"Medicare","United"
"40",192,3,"Health Net of Arizona, Inc. CMS Contract: H0351","AZ","HMO","No",2,2.5,3,"Medicare","Health Net"
"41",202,3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage CMS Contract: H0302","AZ","HMO","No",3.5,3,3,"Medicare","Blue"
"42",212,2.5,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations † CMS Contract: H0321","AZ","HMO","No",2,2.5,2.5,"Medicare","Other"
"43",221,2.5,"ONECare by Care1st HealthPlan Arizona † CMS Contract: H5430","AZ","HMO","No",2,2,3,"Medicare","Other"
"44",231,2.5,"SCHN/ Mercy Care Plan † CMS Contract: H5580","AZ","HMO","No",2.5,2.5,3,"Medicare","Other"
"45",24,2.5,"University of Arizona Health Plans - University Healthcare, Inc. † CMS Contract: H4931","AZ","HMO","No",2.5,2,2.5,"Medicare","Other"
"46",97,3,"United HealthCare Services, Inc. (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"47",107,3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"48",116,2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO/EPO","Yes",3,1.5,1.5,"Commercial","Aetna"
"49",126,1.5,"American Postal Workers Union Health Plan","AR","PPO","No",4,0.5,1.5,"Commercial","Other"
"50",98,4,"Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX) CMS Contract: H2001","AR","PPO","Yes",4,5,3.5,"Medicare","Other"
"51",108,3.5,"Coventry Health and Life Insurance Company (Iowa) CMS Contract: H1608","AR","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"52",117,3.5,"Coventry Health Care of Missouri, Inc. CMS Contract: H2663","AR","HMO/POS","No",4,4,3.5,"Medicare","Coventry"
"53",127,3.5,"HealthSpring of Tennessee CMS Contract: H4454","AR","HMO","No",3.5,4.5,3.5,"Medicare","HealthSpring"
"54",136,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","AR","PPO","No",3.5,4,3.5,"Medicare","Other"
"55",146,3.5,"UnitedHealthcare Insurance Company (AR,LA,OK,TX) CMS Contract: H2228","AR","PPO","Yes",3,3.5,3,"Medicare","United"
"56",156,3.5,"UnitedHealthcare of the Midlands, Inc. - AR CMS Contract: H2802","AR","HMO/POS","Yes",3.5,3.5,3,"Medicare","United"
"57",166,3,"HealthSpring of Tennessee CMS Contract: H4407","AR","HMO","No",3.5,4,3,"Medicare","HealthSpring"
"58",176,2.5,"Care Improvement Plus South Central Insurance Company CMS Contract: R3444","AR","PPO","No",2.5,3,2.5,"Medicare","Care Improvement"
"59",183,2.5,"Harmony Health Plan of Illinois (Arkansas) CMS Contract: H1416","AR","HMO/POS","Yes",2.5,2,2,"Medicare","Other"
"60",193,2,"QualChoice Advantage CMS Contract: H6947","AR","HMO","No",2,2,2,"Medicare","Other"
"61",99,4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,5,4.5,"Commercial","Kaiser"
"62",109,4.5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3,5,4.5,"Commercial","Kaiser"
"63",119,4.5,"Sharp Health Plan","CA","HMO","Yes",3,4.5,4,"Commercial","Other"
"64",128,4,"Western Health Advantage","CA","HMO","Yes",3.5,4,3,"Commercial","Other"
"65",137,3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO/EPO","Yes",2,3,3,"Commercial","Anthem"
"66",147,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",2,3.5,3,"Commercial","Anthem"
"67",157,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO/EPO","Yes",2,3,3,"Commercial","Anthem"
"68",167,3.5,"Blue Shield of California","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial","Blue"
"69",177,3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2,3.5,2.5,"Commercial","Cigna"
"70",184,3.5,"Health Net Life Insurance Company - California","CA","PPO","Yes",2.5,3,3.5,"Commercial","Health Net"
"71",194,3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial","Health Net"
"72",204,3.5,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",2,3.5,3,"Commercial","United"
"73",213,3.5,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",2,3.5,3,"Commercial","United"
"74",222,3.5,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",3,3.5,3,"Commercial","United"
"75",241,3,"Aetna Life Insurance Company (California)","CA","PPO/EPO","Yes",2,2.5,3,"Commercial","Aetna"
"76",271,3,"Chinese Community Health Plan","CA","HMO","No",2,4,NA,"Commercial","Other"
"77",281,3,"Cigna Health and Life Insurance Company - California","CA","PPO/EPO","Yes",2,3.5,3,"Commercial","Cigna"
"78",910,5,"Kaiser Foundation Health Plan Inc. - Southern California Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"79",1010,5,"Kaiser Foundation Health Plan, Inc. - Northern California Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"80",1110,4,"Aetna Health of California, Inc. CMS Contract: H0523","CA","HMO","Yes",3,3.5,3.5,"Medicare","Aetna"
"81",129,4,"Aetna Life Insurance Company (California) CMS Contract: H5521","CA","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"82",138,4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV) CMS Contract: H2001","CA","PPO","Yes",4,5,3.5,"Medicare","Other"
"83",148,4,"UnitedHealthcare of California (formerly PacifiCare of California) CMS Contract: H0543","CA","HMO","Yes",3,4,3,"Medicare","United"
"84",158,3.5,"Blue Shield of California CMS Contract: H0504","CA","HMO","Yes",2.5,3,3,"Medicare","Blue"
"85",168,3.5,"Chinese Community Health Plan CMS Contract: H0571","CA","HMO","No",2,3.5,4,"Medicare","Other"
"86",178,3.5,"Health Net of California, Inc. CMS Contract: H0562","CA","HMO","Yes",2.5,3.5,3.5,"Medicare","Health Net"
"87",185,3.5,"Inter Valley Health Plan CMS Contract: H0545","CA","HMO","No",2.5,4,3.5,"Medicare","Other"
"88",195,3.5,"SCAN Health Plan CMS Contract: H5425","CA","HMO","No",3,3.5,3.5,"Medicare","Other"
"89",205,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","CA","PPO","No",3.5,4,3.5,"Medicare","Other"
"90",214,3.5,"Stanford Health Care Advantage CMS Contract: H2986","CA","HMO","No",3.5,3.5,3.5,"Medicare","Other"
"91",223,3.5,"UnitedHealthcare Insurance Company (AZ,CA,NV) CMS Contract: H2228","CA","PPO","Yes",3,3.5,3,"Medicare","United"
"92",233,3,"Care1st Health Plan Special Project / Area: Accreditation / CaliforniaCMS Contract: H5928","CA","HMO","Yes",1.5,3,2.5,"Medicare","Other"
"93",242,3,"Community Health Group CMS Contract: H5172","CA","HMO","No",2.5,3.5,3,"Medicare","Other"
"94",252,3,"Easy Choice Health Plan, Inc. CMS Contract: H5087","CA","HMO","No (Scheduled)",1.5,3,3.5,"Medicare","Other"
"95",262,3,"Local Initiative Health Authority, dba L.A. Care Health Plan CMS Contract: H8258","CA","HMO","Yes",2,2,2.5,"Medicare","Other"
"96",272,2.5,"Central Health Plan of California, Inc. CMS Contract: H5649","CA","HMO","No",1,3.5,3,"Medicare","Other"
"97",282,2.5,"Golden State Medicare Health Plan CMS Contract: H2241","CA","HMO","No",2,3.5,2.5,"Medicare","Other"
"98",911,4,"Orange County Health Authority - dba CalOptima","CA","HMO","Yes",1.5,4.5,3.5,"Medicaid","Other"
"99",1011,3.5,"Alameda Alliance for Health","CA","HMO","Yes",2,4,3,"Medicaid","Other"
"100",1111,3.5,"Community Health Group","CA","HMO","Yes",3,3.5,3.5,"Medicaid","Other"
"101",1210,3.5,"Contra Costa Health Plan","CA","HMO","Yes",2,4,2.5,"Medicaid","Other"
"102",139,3.5,"Inland Empire Health Plan","CA","HMO","Yes",2.5,3,3,"Medicaid","Other"
"103",149,3.5,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes",1.5,3.5,3,"Medicaid","Other"
"104",159,3.5,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",2,3.5,3,"Medicaid","Molina"
"105",169,3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1.5,3,3,"Medicaid","Blue"
