V1,state,abbreviation,meanrat_com,meanrat_medicaid,meanrat_medicare,meanrat_overall,year,pop_2016.x,pct_pop_age0-18_2016,pct_pop_age19-25_2016,pct_pop_age26-34_2016,pct_pop_age35-54_2016,pct_pop_age55-64_2016,pct_pop_age65_2016,pct_citizen_2016,pct_male_2016,pct_female_2016,pct_white_2016,pct_black_2016,pct_hispanic_2016,pct_asian_2016,pct_native_2016,pct_pacific_2016,pct_two_or_more_races_2016,pct_fpv<100_2016,pct_fpv100-199_2016,pct_fpv200-399_2016,pct_fpv>400_2016,med_house_income_2016,pct_unemployed_2016,avg_monthly_SNAP_2016,expend_per_cap_2016,forclosure_rate_2016,pct_change_monthly_umployment_2016,pct_change_monthly_SNAP_2016,economic_distress_rank_2016,pct_any_mental_illness_2016,pct_serious_mental_illness_2016,cancer_death_rate_2016,death_rate_2016,cvs_death_rate_2016,firearm_death_rate_2016,opioid_od_death_rate_2016,all_drug_od_death_rate_2016,flu_pna_death_2016,pct_smoke_2016,pct_reported_poor_health_2016,expansion_2017,total_medicaid_enroll_2017,expansion_group_enrolled_2017,expansion_group_newly_eligible_enrolled_2017,hosp_expense_inpatient_day_2016,hosp_rate_gov_hosp_2016,hosp_rate_nonprofit_hosp_2016,hosp_rate_forprofit_hosp_2016,hosp_rate_total_2016,pct_uninsured_2013,pct_uninsured_2016,pct_change_uninsured_2013_2016,herfindahl_hirschman_Index_2016,market_share_largest_insure_2016,no_insure_>5%_mark_share_2016,gross_margins_per_member_2016,total_pc_hpsa_2017,pop_hpsa_2017,pct_needs_met_2017,no_practitioners_needed_2017,pct_hdhp_2017,avg_fam_prem_employee_cont_2016,avg_fam_prem_employer_cont_2016,avg_fam_prem_total_2016,avg_sing_prem_employee_cont_2016,avg_sing_prem_employer_cont_2016,avg_sing_prem_total_2016,hc_exp_per_cap_2014,avg_bench_mktplace_prem,pct_pot_mkt_pop_enrol_2016,no_insur_provid_2016,insur_spend_per_cap_2014,pct_not_hav_pcp_2016,quality_rank_2016,quality_value_2016,no_pcp_2018,no_specialist_2018,no_total_md_2018,pop_2016.y,land_area,pop_density,pct_disability_2016,num_gov_beds_2016,num_non_profit_beds_2016,num_for_profit_beds_2016,num_total_beds_2016,no_pcp_per_pop,no_specialists_per_pop,no_total_md_pop
1,Massachusetts,MA,4.28125,4.33333333333333,3.79166666666667,4.11764705882353,2016,6779600,22,10,14.000000000000002,26,14.000000000000002,15,90,49,51,0.72,0.07,0.12,0.07,NA,NA,0.01,9.629999999999999,12.44,24.54,53.39,72266,3.3000000000000003,779192,8997,1403,-32.1,-1.5,29,19,4.3,150.2,669,134.8,3.4,29.7,33,14.1,13.600000000000001,14.099999999999998,1,1853800,398300,0,2955.25,14,488,92,594,5.4,3.5000000000000004,-1.7999999999999998,2217,36,5,-17,68,539073,38.66,113,43,5052,13903,18955,1670,4951,6621,10559,257,59,10,5302,11.1,2,0.76,15609,20347,35956,6779600,7838,864.9655524368461,11.600000000000001,0.1,1.9,0.4,2.3,2.30234822113399,3.001209510885598,5.303557732019589
2,Pennsylvania,PA,4.275,3.94444444444444,3.775,4.01020408163265,2016,12557900,23,9,12,24,14.000000000000002,18,97,49,51,0.76,0.11,0.07,0.04,NA,NA,0.02,11.37,14.32,30.89,43.419999999999995,60979,5.5,1863836,5973,1015,22.3,0.1,1,18.4,4.1000000000000005,164.7,770.1,176.2,12,18.5,37.9,13.9,18,16.6,1,2799300,751000,707900,2331.99,0,584,85,670,13.600000000000001,7.7,-5.8999999999999995,1897,28.999999999999996,7,-7,166,727671,56.05,134,49.4,4560,13340,17900,1340,4861,6201,9258,260,46,7,4634,14.2,28,-0.016,23889,26187,50076,12557900,44820,280.18518518518516,14.399999999999999,0,2.5,0.4,2.9,1.9023085069955965,2.085300886294683,3.9876093932902794
3,Wisconsin,WI,4.2,3.6,4.06666666666667,4.075,2016,5766100,24,9,11,25,15,16,97,50,50,0.8,0.06,0.08,0.03,NA,<.01,0.02,10.780000000000001,15.920000000000002,30.240000000000002,43.07,59817,4.2,728077,7914,1359,-9.2,-7.8,42,18.2,4.2,158,717.9,154.9,11.4,15.8,19.3,11.9,17.1,16,0,1201800,NA,NA,2369.23,1,445,13,458,12.7,7.199999999999999,-5.5,1177,20,8,-3,137,1401203,65.72,161,65.7,3817,13660,17477,1401,4985,6386,8702,319,44,16,5159,17.1,20,0.22,8342,9008,17350,5766100,54314,106.1623154251206,12,0,2,0.1,2.1,1.446731759768301,1.5622344392223515,3.008966198990652
4,Rhode Island,RI,4.1875,4.5,3.625,4.07142857142857,2016,1054300,21,9,12,27,15,17,93,49,51,0.72,0.06,0.16,0.04,NA,NA,NA,11.57,14.299999999999999,28.7,45.43,61528,5.3,171055,8166,1595,-0.3,-2.5,18,18.9,4.1000000000000005,158,690.1,152.4,4.1,26.7,30.8,11,14.399999999999999,15.6,1,286500,61500,61500,2814.2,NA,495,29,524,16.5,5.8999999999999995,-10.6,4913,61,2,72,14,161671,66.97,20,53.6,5035,12975,18010,1614,5051,6665,9551,263,41,3,4620,12.8,14,0.422,2403,2547,4950,1054300,1034,1019.6324951644101,13.4,NA,2,0.1,2.1,2.279237408707199,2.4158209238357204,4.69505833254292
5,North Dakota,ND,4,NA,4,4,2016,749500,25,10,15,23,13,15,97,51,49,0.85,0.03,0.04,NA,0.04,NA,0.03,11.12,13.68,34.31,40.89,60184,3.1,54252,9841,14760,15.1,3.1,15,16.7,4,142.7,688.4,140.9,11.9,7.6,10.6,14.5,19.8,14.799999999999999,1,93600,21400,20400,1997.97,NA,908,17,925,13.4,8.9,-4.3999999999999995,5857,74,3,27,80,196600,35.839999999999996,38,45.7,4536,12268,16804,1155,5000,6155,9851,330,26,3,4410,26.1,11,0.473,1106,887,1993,749500,68994,10.863263472185988,11.3,NA,4.2,0.1,4.3,1.475650433622415,1.1834556370913942,2.659106070713809
6,Vermont,VT,4,NA,4,4,2016,622500,21,9,10,26,16,18,99,50,50,0.94,0.01,0.01,NA,NA,NA,0.02,9.78,14.74,31.7,43.78,60837,3.2,79715,8905,7876,-8.799999999999999,-5.6000000000000005,47,20.599999999999998,5.3,158.4,712.8,158.8,11.1,18.4,22.2,7,17,13.5,1,210700,66400,0,2244.49,NA,475,NA,475,9.8,5.3,-4.5,7856,88,2,19,33,12322,53.559999999999995,2,63.3,4751,13044,17795,1395,4943,6338,10190,468,46,2,5313,12,5,0.709,1091,1176,2267,622500,9249,67.30457346740188,14.299999999999999,NA,2,NA,2,1.7526104417670683,1.889156626506024,3.6417670682730923
7,Minnesota,MN,3.95,4,4.1,4,2016,5436600,25,8,11,27,13,16,96,49,51,0.8,0.06,0.06,0.04,NA,NA,0.02,8.77,11.68,30.220000000000002,49.34,70218,4,478783,6666,2550,7.5,-3.9,24,17.9,4.2,148.6,648.1,114.9,7.6,7.4,12.5,7.8,15.2,12.7,1,1246000,222900,222300,2207.59,88,513,NA,601,10.8,5.7,-5.1,3228,45,4,-45,128,464373,47.65,78,65.9,4803,12742,17545,1380,4650,6030,8871,260,22,4,4603,27.3,4,0.727,8619,9239,17858,5436600,79617,68.28441162063379,10.9,0.4,2.2,NA,2.6,1.5853658536585367,1.699407718059081,3.2847735717176176
8,Maine,ME,3.9375,NA,3.64285714285714,3.8,2016,1321600,21,8,10,28.000000000000004,15,19,99,49,51,0.92,0.01,0.02,NA,NA,NA,0.03,12.98,18.18,29.720000000000002,39.12,50856,4,189245,6038,2175,-0.7000000000000001,-6.1,35,17.4,4.3,168.9,759,149.5,8.3,25.2,28.7,12,19.8,16.400000000000002,0,274500,NA,NA,2261.72,11,610,18,639,16,11.200000000000001,-4.8,4571,62,3,-9,68,85030,42.33,16,67.10000000000001,4699,13288,17987,1357,4855,6212,9531,335,57.99999999999999,3,5015,11.899999999999999,22,0.192,2431,2235,4666,1321600,30865,42.81872671310546,15.7,0.1,2.4,0.1,2.6,1.8394370460048428,1.69113196125908,3.5305690072639226
9,New Hampshire,NH,3.9,3.75,3.5,3.78125,2016,1318100,21,9,11,25,16,17,97,49,51,0.92,0.01,0.03,0.02,NA,NA,0.02,6.529999999999999,11.97,27.91,53.59,76260,2.8000000000000003,98464,4371,2270,-11,-7.7,48,19,4.9,164.1,721.5,151.1,9.3,35.8,39,11.8,18,14.099999999999998,1,192100,53900,53700,2431.08,NA,412,78,490,15.7,9,-6.7,2581,39,4,25,32,117263,56.69,19,75.6,5148,13918,19066,1678,4959,6637,9589,262,50,5,4880,12.1,6,0.696,1976,2191,4167,1318100,8969,146.9617571635634,12.8,NA,1.8,0.3,2.1,1.4991275320537136,1.6622411046202867,3.161368636674
10,New York,NY,3.85,3.8125,3.8,3.82291666666667,2016,19482300,23,9,14.000000000000002,26,12,17,91,48,52,0.57,0.14,0.18,0.09,<.01,NA,0.01,12,16.5,28.09,43.41,61437,4.9,2968227,7633,1471,3.2,-1.5,10,17.299999999999997,4,147.5,640.7,177.8,4.4,15.1,18,18.3,14.2,16.900000000000002,1,6317200,2070800,285600,2559.38,133,639,NA,772,15.299999999999999,8.5,-6.800000000000001,993,14.000000000000002,8,-1,197,5821682,41.81,1205,45.1,4679,14696,19375,1357,5257,6614,9778,393,22,15,5338,16.6,13,0.43,40077,48342,88419,19482300,47224,412.5508216161274,11.5,0.5,2.2,NA,2.7,2.0570979812445143,2.481329206510525,4.5384271877550395
