"","x","x1","rating","plan","abbreviation","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"1",1,9,3,"Humana Health Plan","AL","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"2",2,10,2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO","Yes",3.5,1.5,2,"Commercial","Aetna"
"3",3,11,2.5,"United Healthcare Insurance","AL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"4",4,12,2.5,"United HealthCare Services","AL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"5",8,91,4,"Aetna Life Insurance Company (Pennsylvania)","AL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"6",9,101,4,"Humana Health Plan","AL","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"7",10,111,3.5,"HealthSpring","AL","HMO","No",3.5,4,3,"Medicare","HealthSpring"
"8",11,121,3.5,"Humana Health Plan - Kentucky","AL","HMO","Yes",3,3,3,"Medicare","Humana"
"9",12,131,3.5,"Humana Insurance (Ohio)","AL","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"10",13,141,3.5,"UnitedHealthcare Insurance","AL","PPO","Yes",3,3.5,3,"Medicare","United"
"11",14,151,3,"Blue Cross and Blue Shield of Alabama","AL","PPO","No",3,3,2.5,"Medicare","Blue"
"12",15,16,3,"Humana Insurance","AL","PPO","No",4,3,3,"Medicare","Humana"
"13",16,17,3,"UnitedHealthcare Insurance","AL","HMO","Yes",3,2.5,2.5,"Medicare","United"
"14",20,92,2.5,"Aetna Life Insurance Company (Alaska)","AK","PPO","Yes",2.5,1,2.5,"Commercial","Aetna"
"15",21,102,2.5,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2,2,"Commercial","Blue"
"16",25,93,4,"Aetna Life Insurance Company (Pennsylvania)","AK","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"17",26,103,3.5,"UnitedHealthcare Insurance","AK","PPO","Yes",3,3.5,3,"Medicare","United"
"18",28,94,4,"Cigna HealthCare of Arizona","AZ","HMO/POS","Yes",2.5,3.5,3.5,"Commercial","Cigna"
"19",29,104,3.5,"Cigna Health and Life Insurance","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Cigna"
"20",30,113,3.5,"Connecticut General Life Insurance (Cigna)","AZ","PPO","Yes",2.5,3.5,3,"Commercial","Connecticut General"
"21",31,123,3.5,"Health Net of Arizona","AZ","HMO","Yes",2.5,3,3,"Commercial","Health Net"
"22",32,133,3,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",3,2,2.5,"Commercial","Aetna"
"23",33,142,3,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3,2.5,3,"Commercial","Aetna"
"24",34,152,3,"Humana Health Plan","AZ","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"25",35,161,3,"Humana Health Plan - Arizona","AZ","HMO/POS","Yes",1.5,2.5,3,"Commercial","Humana"
"26",36,171,3,"United HealthCare Services","AZ","PPO","Yes",3,2.5,2.5,"Commercial","United"
"27",37,181,3,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,2.5,2.5,"Commercial","United"
"28",38,191,3,"UnitedHealthcare of Arizona","AZ","HMO","Yes",3.5,2,3,"Commercial","United"
"29",39,20,2.5,"United Healthcare Insurance","AZ","PPO","Yes",2.5,1.5,2,"Commercial","United"
"30",47,95,4.5,"Cigna HealthCare of Arizona","AZ","HMO","No",4,5,4.5,"Medicare","Cigna"
"31",48,105,4,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"32",49,114,4,"Aetna Life Insurance Company (Pennsylvania)","AZ","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"33",50,124,4,"Humana Health Plan","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"34",51,134,4,"Humana Health Plan - Arizona","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"35",52,143,4,"Humana Health Plan - Kansas City","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"36",53,153,3.5,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO","Yes",2,3,3.5,"Medicare","Aetna"
"37",54,162,3.5,"Blue Cross Blue Shield of Arizona Advantage","AZ","HMO","No",3,4,3.5,"Medicare","Blue"
"38",55,172,3.5,"CareMore HealthPlan (H0544)","AZ","HMO","No",3.5,4,3,"Medicare","Other"
"39",56,182,3.5,"Humana Insurance (Ohio)","AZ","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"40",57,192,3.5,"Humana Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"41",58,201,3.5,"PacifiCare of Arizona","AZ","HMO","Yes",3,3,3,"Medicare","Other"
"42",59,211,3.5,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,3.5,3,"Medicare","United"
"43",60,221,3.5,"UnitedHealthcare of Arizona","AZ","HMO/POS","Yes",2.5,3,3,"Medicare","United"
"44",61,231,3,"CareMore HealthPlan (H2593)","AZ","HMO","No",2,3.5,3.5,"Medicare","Other"
"45",62,241,3,"CareMore HealthPlan (H3447)","AZ","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"46",63,251,3,"CareMore HealthPlan (H4346)","AZ","HMO","No",2,3,3.5,"Medicare","Other"
"47",64,261,3,"Health Net of Arizona","AZ","HMO","No",2.5,3,3,"Medicare","Health Net"
"48",65,271,3,"Humana Insurance","AZ","PPO","No",4,3,3,"Medicare","Humana"
"49",66,28,3,"SCAN Health Plan (Arizona Classic/Connections)","AZ","HMO","No",3,2.5,3,"Medicare","Other"
"50",76,97,3,"Humana Health Plan","AR","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"51",77,107,3,"Vantage Health Plan","AR","HMO/POS","Yes (Interim)",4,2.5,3,"Commercial","Other"
"52",78,116,2.5,"United Healthcare Insurance","AR","PPO","Yes",2.5,1.5,2,"Commercial","United"
"53",79,126,2.5,"United HealthCare Services","AR","PPO","Yes",3,2,2,"Commercial","United"
"54",80,136,2.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,2,2,"Commercial","United"
"55",81,145,2,"Aetna Life Insurance Company (Arkansas)","AR","PPO","Yes",3,1.5,1.5,"Commercial","Aetna"
"56",82,155,2,"Coventry Health and Life Insurance Company (Kansas)","AR","PPO","Yes",2.5,1.5,1.5,"Commercial","Coventry"
"57",87,98,4,"Aetna Life Insurance Company (Pennsylvania)","AR","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"58",88,108,4,"Humana Health Plan","AR","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"59",89,117,3.5,"Coventry Health Care of Kansas","AR","HMO","No",3,3.5,3.5,"Medicare","Coventry"
"60",90,127,3.5,"Humana Health Plan - Kentucky","AR","HMO","Yes",3,3,3,"Medicare","Humana"
"61",91,137,3.5,"Humana Insurance (Ohio)","AR","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"62",92,146,3.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,3.5,3,"Medicare","United"
"63",93,156,3,"Coventry Health and Life Insurance (Missouri)","AR","PPO","No",3,3,3,"Medicare","Coventry"
"64",94,165,3,"Coventry Health and Life Insurance Company","AR","PPO","No",3.5,3,3,"Medicare","Coventry"
"65",95,174,3,"HealthSpring Life and Health (H2165)","AR","HMO","No",3.5,3,2.5,"Medicare","HealthSpring"
"66",96,184,3,"Humana Insurance","AR","PPO","No",4,3,3,"Medicare","Humana"
"67",97,194,2.5,"Care Improvement Plus South Central Insurance (H6528)","AR","PPO","No",2.5,2.5,2,"Medicare","Care Improvement"
"68",98,202,2.5,"Care Improvement Plus South Central Insurance (R3444)","AR","PPO","No",3,2.5,2,"Medicare","Care Improvement"
"69",99,212,2.5,"Care Improvement Plus South Central Insurance (R9896)","AR","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"70",100,222,2.5,"HealthSpring Life and Health","AR","PPO","No",2.5,3,2.5,"Medicare","HealthSpring"
"71",101,232,2,"HealthSpring Life and Health (H7811)","AR","HMO","No",2.5,2,2,"Medicare","HealthSpring"
"72",102,242,1.5,"Windsor Health Plan (TN)","AR","HMO","No",2,1.5,1.5,"Medicare","Other"
"73",108,99,5,"Kaiser Foundation Health Plan of Northern California","CA","HMO","Yes",3.5,4.5,4.5,"Commercial","Kaiser"
"74",109,109,4.5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",3,4.5,4.5,"Commercial","Kaiser"
"75",110,119,4,"Sharp Health Plan","CA","HMO","Yes",4,3.5,3.5,"Commercial","Other"
"76",111,128,4,"Western Health Advantage","CA","HMO","Yes",3,3.5,3.5,"Commercial","Other"
"77",112,138,3.5,"Anthem Blue Cross","CA","HMO/POS","Yes",2,3,3,"Commercial","Anthem"
"78",113,147,3.5,"Anthem Blue Cross","CA","PPO","Yes",2,3,3,"Commercial","Anthem"
"79",114,157,3.5,"Anthem Blue Cross Life and Health Insurance","CA","PPO","Yes",2,3,3,"Commercial","Anthem"
"80",115,166,3.5,"Blue Shield of California","CA","HMO/POS","Yes",3.5,3,3,"Commercial","Blue"
"81",116,175,3.5,"Cigna Health and Life Insurance","CA","PPO","Yes",2.5,3,3,"Commercial","Cigna"
"82",117,185,3.5,"Cigna HealthCare of California","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna"
"83",118,195,3.5,"Connecticut General Life Insurance (Cigna)","CA","PPO","Yes",2.5,3,3,"Commercial","Connecticut General"
"84",119,203,3.5,"Health Net of California","CA","HMO/POS","Yes",2.5,3,3,"Commercial","Health Net"
"85",120,213,3.5,"UnitedHealthcare of California","CA","HMO","Yes",2.5,2.5,3,"Commercial","United"
"86",121,223,3,"Aetna Health of California","CA","HMO/POS","Yes",2,2,2.5,"Commercial","Aetna"
"87",122,233,3,"Aetna Life Insurance Company (California)","CA","PPO","Yes",2.5,2.5,2.5,"Commercial","Aetna"
"88",123,243,3,"Chinese Community Health Plan","CA","HMO","No",1,3.5,NA,"Commercial","Other"
