"","X1","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"1",9,3.5,"Blue Cross and Blue Shield of Alabama","AL","PPO","Yes",4,2.5,2.5,"Commercial","Blue"
"2",10,2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO/EPO","Yes",2.5,1.5,2.5,"Commercial","Aetna"
"3",11,2.5,"United Healthcare Services, Inc  (Alabama)","AL","PPO","Yes",2,2.5,2,"Commercial","United"
"4",12,2.5,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",2,2.5,2,"Commercial","United"
"5",91,4.5,"Aetna Life Insurance Company (Alabama)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AL","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"6",101,4,"Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AL","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"7",121,3,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","AL","HMO/POS","No",2.5,3,3.5,"Medicare","Care Improvement"
"8",131,3,"HealthSpring of Alabama, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0150","AL","HMO","No",3,3,3,"Medicare","HealthSpring"
"9",14,3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","AL","PPO","No",3,3,3,"Medicare","Humana"
"10",15,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AL","PPO","No",2.5,2.5,3,"Medicare","Humana"
"11",92,3,"Aetna Life Insurance Company (Alaska)","AK","PPO/EPO","Yes",2.5,1.5,3,"Commercial","Aetna"
"12",102,3,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2,2.5,"Commercial","Blue"
"13",93,4,"Sierra Health and Life Insurance Company, Inc. (AK)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AK","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"14",94,3.5,"United Healthcare Services, Inc. (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial","United"
"15",103,3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial","United"
"16",113,3.5,"UnitedHealthcare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Arizona","AZ","HMO","Yes",3.5,3,3.5,"Commercial","United"
"17",123,3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2.5,2,2.5,"Commercial","Aetna"
"18",133,3,"Aetna Life Insurance Company (Arizona)","AZ","PPO/EPO","Yes",1.5,2.5,3,"Commercial","Aetna"
"19",141,3,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",2,3,2.5,"Commercial","Cigna"
"20",151,3,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2,3,3,"Commercial","Cigna"
"21",161,3,"Connecticut General Life Insurance Company - Arizona","AZ","PPO","Yes",2,3,2.5,"Commercial","Connecticut General"
"22",171,3,"Health Net of Arizona, Inc.","AZ","HMO","Yes",2.5,2.5,2.5,"Commercial","Health Net"
"23",181,3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",1.5,2,3,"Commercial","Humana"
"24",95,4.5,"Aetna Life Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AZ","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"25",104,4,"Aetna Health Inc. (Pennsylvania) - Arizona
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","AZ","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"26",114,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","AZ","HMO","Yes",3.5,4,3.5,"Medicare","Other"
"27",124,4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AZ","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"28",142,3.5,"Cigna HealthCare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0354","AZ","HMO","No",4,4.5,3.5,"Medicare","Cigna"
"29",152,3.5,"Humana Health Plan, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","AZ","HMO","Yes",3,3,3,"Medicare","Humana"
"30",162,3.5,"Humana Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H6609","AZ","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"31",172,3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H0302","AZ","HMO","No",3,3.5,3,"Medicare","Blue"
"32",182,3,"SCHN/ Mercy Care Planʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5580","AZ","HMO","No",2,2,3,"Medicare","Other"
"33",201,2.5,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operationsʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H0321","AZ","HMO","No",2,2.5,3,"Medicare","Other"
"34",21,2.5,"Health Net of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0351","AZ","HMO","No",2,2.5,2.5,"Medicare","Health Net"
