"","state","abbreviation","meanrat_com","meanrat_medicaid","meanrat_medicare","meanrat_overall"
"1","massachusetts","MA",4.28125,4.33333333333333,3.79166666666667,4.11764705882353
"2","pennsylvania","PA",4.275,3.94444444444444,3.775,4.01020408163265
"3","wisconsin","WI",4.2,3.6,4.06666666666667,4.075
"4","rhode island","RI",4.1875,4.5,3.625,4.07142857142857
"5","north dakota","ND",4,NA,4,4
"6","vermont","VT",4,NA,4,4
"7","minnesota","MN",3.95,4,4.1,4
"8","maine","ME",3.9375,NA,3.64285714285714,3.8
"9","new hampshire","NH",3.9,3.75,3.5,3.78125
"10","new york","NY",3.85,3.8125,3.8,3.82291666666667
"11","connecticut","CT",3.76923076923077,NA,3.58333333333333,3.71052631578947
"12","maryland","MD",3.71052631578947,4.14285714285714,3.9,3.83870967741935
"13","michigan","MI",3.64285714285714,3.75,3.53333333333333,3.62820512820513
"14","iowa","IA",3.63333333333333,NA,4.07142857142857,3.77272727272727
"15","hawaii","HI",3.6,3.5,3.7,3.60714285714286
"16","virginia","VA",3.55882352941176,3.5,3.55555555555556,3.546875
"17","california","CA",3.45,2.90909090909091,3.35294117647059,3.29166666666667
"18","florida","FL",3.44444444444444,3.04545454545455,3.825,3.51020408163265
"19","north carolina","NC",3.4375,NA,3.4375,3.4375
"20","ohio","OH",3.43333333333333,3.4,3.41666666666667,3.42105263157895
"21","new jersey","NJ",3.42857142857143,3.125,3.3,3.33928571428571
"22","tennessee","TN",3.40909090909091,3.2,3.55555555555556,3.38333333333333
"23","delaware","DE",3.38888888888889,3.25,3.66666666666667,3.42857142857143
"24","oregon","OR",3.36363636363636,NA,3.27777777777778,3.31034482758621
"25","colorado","CO",3.35714285714286,3.25,3.72222222222222,3.48
"26","arizona","AZ",3.35,NA,3.41666666666667,3.38636363636364
"27","illinois","IL",3.35,2.75,3.625,3.34
"28","south dakota","SD",3.33333333333333,NA,3.5,3.375
"29","washington","WA",3.3125,3.125,3.39285714285714,3.32352941176471
"30","georgia","GA",3.26923076923077,3.5,3,3.16129032258065
"31","texas","TX",3.26666666666667,3.07142857142857,3.275,3.23809523809524
"32","nebraska","NE",3.25,3.5,3.25,3.29411764705882
"33","west virginia","WV",3.25,3.25,3.25,3.25
"34","missouri","MO",3.2,3,3.17857142857143,3.17741935483871
"35","indiana","IN",3.05,3.4,2.95454545454545,3.07692307692308
"36","idaho","ID",3,NA,3.25,3.09375
"37","kansas","KS",3,3.5,3.55555555555556,3.25
"38","louisiana","LA",2.94444444444444,2.66666666666667,3.41666666666667,3.05555555555556
"39","south carolina","SC",2.92857142857143,3.2,2.875,2.975
"40","mississippi","MS",2.91666666666667,2.5,3.375,3
"41","kentucky","KY",2.9,3,3.59090909090909,3.21153846153846
"42","alabama","AL",2.83333333333333,NA,3,2.94444444444444
"43","arkansas","AR",2.83333333333333,NA,2.55555555555556,2.625
"44","utah","UT",2.78571428571429,3.75,3.22222222222222,3.11111111111111
"45","new mexico","NM",2.75,3,3.3,2.97058823529412
"46","montana","MT",2.7,NA,3,2.75
"47","wyoming","WY",2.66666666666667,NA,NA,2.66666666666667
"48","nevada","NV",2.63636363636364,2.5,3.7,2.91666666666667
"49","alaska","AK",2.5,NA,NA,2.5
"50","oklahoma","OK",2.375,NA,3.35714285714286,3
