"","state","abbreviation","consumer_satisfaction_rating"
"1","Hawaii","HI",4
"2","Louisiana","LA",4
"3","Maine","ME",3.71428571428571
"4","Pennsylvania","PA",3.525
"5","Texas","TX",3.5
"6","New Hampshire","NH",3.45454545454545
"7","Rhode Island","RI",3.42857142857143
"8","Mississippi","MS",3.41666666666667
"9","New York","NY",3.4
"10","Tennessee","TN",3.4
"11","Vermont","VT",3.35714285714286
"12","Arkansas","AR",3.33333333333333
"13","Massachusetts","MA",3.29411764705882
"14","Missouri","MO",3.28571428571429
"15","Ohio","OH",3.26923076923077
"16","Connecticut","CT",3.23076923076923
"17","Oklahoma","OK",3.2
"18","Florida","FL",3.1875
"19","Virginia","VA",3.13888888888889
"20","North Carolina","NC",3.125
"21","West Virginia","WV",3.125
"22","Georgia","GA",3.11538461538462
"23","Maryland","MD",3.11111111111111
"24","Iowa","IA",3.10714285714286
"25","Wisconsin","WI",3.05263157894737
"26","Michigan","MI",3.04166666666667
"27","Illinois","IL",3
"28","Kansas","KS",3
"29","Nebraska","NE",3
"30","South Carolina","SC",2.92857142857143
"31","New Jersey","NJ",2.85714285714286
"32","Delaware","DE",2.8125
"33","Idaho","ID",2.8125
"34","Indiana","IN",2.8125
"35","Kentucky","KY",2.75
"36","Alabama","AL",2.625
"37","Utah","UT",2.5625
"38","Minnesota","MN",2.54545454545455
"39","California","CA",2.525
"40","Wyoming","WY",2.5
"41","Montana","MT",2.3
"42","Washington","WA",2.26666666666667
"43","Alaska","AK",2.25
"44","Arizona","AZ",2.25
"45","Oregon","OR",2.25
"46","Colorado","CO",2.19230769230769
"47","South Dakota","SD",2.16666666666667
"48","North Dakota","ND",2
"49","New Mexico","NM",1.94444444444444
"50","Nevada","NV",1.9
