"","state","abbreviation","consumer_satisfaction_rating"
"1","Hawaii","HI",4.2
"2","Louisiana","LA",3.9375
"3","Pennsylvania","PA",3.925
"4","Tennessee","TN",3.88888888888889
"5","Rhode Island","RI",3.75
"6","Vermont","VT",3.75
"7","Alabama","AL",3.5
"8","New Hampshire","NH",3.5
"9","North Dakota","ND",3.5
"10","South Dakota","SD",3.5
"11","Maine","ME",3.4375
"12","North Carolina","NC",3.4375
"13","Iowa","IA",3.41666666666667
"14","Mississippi","MS",3.4
"15","Florida","FL",3.34375
"16","Ohio","OH",3.32142857142857
"17","New York","NY",3.275
"18","Arkansas","AR",3.25
"19","Nebraska","NE",3.25
"20","Oklahoma","OK",3.25
"21","Illinois","IL",3.23333333333333
"22","West Virginia","WV",3.2
"23","Minnesota","MN",3.19230769230769
"24","Texas","TX",3.16666666666667
"25","Connecticut","CT",3.15384615384615
"26","Wisconsin","WI",3.15
"27","New Jersey","NJ",3.11538461538462
"28","Georgia","GA",3.10714285714286
"29","Massachusetts","MA",3.09375
"30","Maryland","MD",3.08333333333333
"31","South Carolina","SC",3.08333333333333
"32","Michigan","MI",3.07692307692308
"33","Idaho","ID",3.05555555555556
"34","Missouri","MO",3.03571428571429
"35","Indiana","IN",3
"36","Kansas","KS",3
"37","Kentucky","KY",3
"38","Virginia","VA",2.97368421052632
"39","Utah","UT",2.94444444444444
"40","Delaware","DE",2.8125
"41","Alaska","AK",2.66666666666667
"42","Wyoming","WY",2.66666666666667
"43","Arizona","AZ",2.65
"44","Montana","MT",2.6
"45","Colorado","CO",2.53846153846154
"46","California","CA",2.41176470588235
"47","Washington","WA",2.2
"48","New Mexico","NM",2.1875
"49","Oregon","OR",2.05
"50","Nevada","NV",2
