"","state","abbreviation","v1","rating","plan","type","ncqa","consumersat","prevention","treatment","instype","plantype","year","pop_2016.x","pct_pop_age0-18_2016","pct_pop_age19-25_2016","pct_pop_age26-34_2016","pct_pop_age35-54_2016","pct_pop_age55-64_2016","pct_pop_age65_2016","pct_citizen_2016","pct_male_2016","pct_female_2016","pct_white_2016","pct_black_2016","pct_hispanic_2016","pct_asian_2016","pct_native_2016","pct_pacific_2016","pct_two_or_more_races_2016","pct_fpv<100_2016","pct_fpv100-199_2016","pct_fpv200-399_2016","pct_fpv>400_2016","med_house_income_2016","pct_unemployed_2016","avg_monthly_SNAP_2016","expend_per_cap_2016","forclosure_rate_2016","pct_change_monthly_umployment_2016","pct_change_monthly_SNAP_2016","economic_distress_rank_2016","pct_any_mental_illness_2016","pct_serious_mental_illness_2016","cancer_death_rate_2016","death_rate_2016","cvs_death_rate_2016","firearm_death_rate_2016","opioid_od_death_rate_2016","all_drug_od_death_rate_2016","flu_pna_death_2016","pct_smoke_2016","pct_reported_poor_health_2016","expansion_2017","total_medicaid_enroll_2017","expansion_group_enrolled_2017","expansion_group_newly_eligible_enrolled_2017","hosp_expense_inpatient_day_2016","hosp_rate_gov_hosp_2016","hosp_rate_nonprofit_hosp_2016","hosp_rate_forprofit_hosp_2016","hosp_rate_total_2016","pct_uninsured_2013","pct_uninsured_2016","pct_change_uninsured_2013_2016","herfindahl_hirschman_Index_2016","market_share_largest_insure_2016","no_insure_>5%_mark_share_2016","gross_margins_per_member_2016","total_pc_hpsa_2017","pop_hpsa_2017","pct_needs_met_2017","no_practitioners_needed_2017","pct_hdhp_2017","avg_fam_prem_employee_cont_2016","avg_fam_prem_employer_cont_2016","avg_fam_prem_total_2016","avg_sing_prem_employee_cont_2016","avg_sing_prem_employer_cont_2016","avg_sing_prem_total_2016","hc_exp_per_cap_2014","avg_bench_mktplace_prem","pct_pot_mkt_pop_enrol_2016","no_insur_provid_2016","insur_spend_per_cap_2014","pct_not_hav_pcp_2016","quality_rank_2016","quality_value_2016","no_pcp_2018","no_specialist_2018","no_total_md_2018","pop_2016.y","land_area","pop_density","pct_disability_2016","num_gov_beds_2016","num_non_profit_beds_2016","num_for_profit_beds_2016","num_total_beds_2016","no_pcp_per_pop","no_specialists_per_pop","no_total_md_pop","rx_opioid_deaths_16.x","pct_no_place_care_2014.x","doc_dens","insured_dens","pct_non_citizen_2016","rx_opioid_deaths_16.y","pct_no_place_care_2014.y","rx_opioid_deaths_16","pct_no_place_care_2014"
"1","Alabama","AL",9,3,"United Healthcare Services, Inc (Alabama)","PPO","Yes",2.5,2,2.5,"Commercial","United",2016,4834100,24,9,11,26,14,16,98,48,52,0.66,0.27,0.04,NA,NA,NA,0.01,16.46,18.65,29.83,35.05,47221,6,850804,5313,1277,-5.7,-6,31,18.1,4.1,174,920.4,222.5,21.5,7.5,16.2,17.1,21.5,22.6,0,1050100,NA,NA,1479.77,377,154,201,731,20.3,14.1,-6.2,6162,76,3,7,99,1919497,57.58,278,39.2,4686,11412,16098,1510,4026,5536,7281,297,33,3,3641,21.3,47,-0.793,5788,6165,11953,4834100,50750,95.2532019704434,16.2,1.6,0.6,0.9,3.1,1.19732732049399,1.27531495004241,2.4726422705364,256,0.122,0.235527093596059,3.32093201970443,2,256,0.122,256,0.122
"2","Alabama","AL",10,3,"UnitedHealthcare Insurance Company (Alabama)","PPO","Yes",2.5,2,2.5,"Commercial","United",2016,4834100,24,9,11,26,14,16,98,48,52,0.66,0.27,0.04,NA,NA,NA,0.01,16.46,18.65,29.83,35.05,47221,6,850804,5313,1277,-5.7,-6,31,18.1,4.1,174,920.4,222.5,21.5,7.5,16.2,17.1,21.5,22.6,0,1050100,NA,NA,1479.77,377,154,201,731,20.3,14.1,-6.2,6162,76,3,7,99,1919497,57.58,278,39.2,4686,11412,16098,1510,4026,5536,7281,297,33,3,3641,21.3,47,-0.793,5788,6165,11953,4834100,50750,95.2532019704434,16.2,1.6,0.6,0.9,3.1,1.19732732049399,1.27531495004241,2.4726422705364,256,0.122,0.235527093596059,3.32093201970443,2,256,0.122,256,0.122
"3","Alabama","AL",11,2.5,"Aetna Life Insurance Company (Alabama)","PPO","Yes",3,1.5,2,"Commercial","Aetna",2016,4834100,24,9,11,26,14,16,98,48,52,0.66,0.27,0.04,NA,NA,NA,0.01,16.46,18.65,29.83,35.05,47221,6,850804,5313,1277,-5.7,-6,31,18.1,4.1,174,920.4,222.5,21.5,7.5,16.2,17.1,21.5,22.6,0,1050100,NA,NA,1479.77,377,154,201,731,20.3,14.1,-6.2,6162,76,3,7,99,1919497,57.58,278,39.2,4686,11412,16098,1510,4026,5536,7281,297,33,3,3641,21.3,47,-0.793,5788,6165,11953,4834100,50750,95.2532019704434,16.2,1.6,0.6,0.9,3.1,1.19732732049399,1.27531495004241,2.4726422705364,256,0.122,0.235527093596059,3.32093201970443,2,256,0.122,256,0.122
"4","Alaska","AK",102,2.5,"Premera Blue Cross Blue Shield of Alaska","PPO","Yes",3,1.5,2,"Commercial","Blue",2016,710800,28,10,15,23,12,12,96,51,49,0.6,0.03,0.07,0.05,"0.17","0.02",0.07,13.02,14.21,27.8,44.97,75723,6.6,82326,13522,5380,3.2,1.9,23,18.9,4.3,158.7,745.6,141,23.3,12.5,16.8,12.5,19,13.8,1,155700,22900,22900,2447.07,65,368,86,519,23,17.6,-5.4,4953,54,2,168,86,116708,29.15,29,52,4843,17647,22490,1319,6567,7886,11064,719,35,2,5958,32.2,30,-0.031,1026,837,1863,710800,570641,1.24561677131506,12.9,0.3,1.5,0.4,2.2,1.44344400675295,1.17754642656162,2.62099043331458,58,0.229,0.00326474964119297,0.0574595936849963,4,58,0.229,58,0.229
"5","Alaska","AK",92,2.5,"Aetna Life Insurance Company (Alaska)","PPO","Yes",2,1,2.5,"Commercial","Aetna",2016,710800,28,10,15,23,12,12,96,51,49,0.6,0.03,0.07,0.05,"0.17","0.02",0.07,13.02,14.21,27.8,44.97,75723,6.6,82326,13522,5380,3.2,1.9,23,18.9,4.3,158.7,745.6,141,23.3,12.5,16.8,12.5,19,13.8,1,155700,22900,22900,2447.07,65,368,86,519,23,17.6,-5.4,4953,54,2,168,86,116708,29.15,29,52,4843,17647,22490,1319,6567,7886,11064,719,35,2,5958,32.2,30,-0.031,1026,837,1863,710800,570641,1.24561677131506,12.9,0.3,1.5,0.4,2.2,1.44344400675295,1.17754642656162,2.62099043331458,58,0.229,0.00326474964119297,0.0574595936849963,4,58,0.229,58,0.229
"6","Arizona","AZ",94,4,"UnitedHealthcare of Arizona, Inc. Special Area: Arizona","HMO","Yes",3.5,3,3.5,"Commercial","United",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"7","Arizona","AZ",103,3.5,"Cigna Health and Life Insurance Company - Arizona","PPO","Yes",2.5,3.5,3,"Commercial","Cigna",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"8","Arizona","AZ",132,3.5,"United Healthcare Services, Inc (Arizona)","PPO","Yes",2.5,3,3,"Commercial","United",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"9","Arizona","AZ",141,3.5,"UnitedHealthcare Insurance Company (Arizona)","PPO","Yes",2.5,3,3,"Commercial","United",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"10","Arizona","AZ",113,3.5,"Cigna HealthCare of Arizona, Inc.","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
