"","2.5 %","97.5 %"
"(Intercept)",2.67546555258544,3.03041680035577
"plantypeAnthem",0.234077194125715,0.964802357695015
"plantypeBlue",-0.0799467810946285,0.490343497920886
"plantypeCigna",-0.164940749411933,0.393841005166407
"plantypeConnecticut General",-0.196258399596432,0.407042713321919
"plantypeCoventry",-0.275217185801152,0.469334832859971
"plantypeGroup Health",-0.649957787002278,0.444075434061105
"plantypeHealth Alliance",-0.0249577870022809,1.06907543406111
"plantypeHealth Net",-1.21633166213615,0.51044930919498
"plantypeHumana",-0.532045027136781,0.173988761152126
"plantypeKaiser",-0.0942774917669917,0.943950694381374
"plantypeMedica ",-0.348603619240617,0.642721266299441
"plantypeOther",0.145011823158408,0.571183745978337
"plantypeUnited",-0.27513288184657,0.187807229936327
