"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.66666666666679,0.372143945070025,7.16568602551096,0.00000000000281894797998122
"2","stateAlaska",-0.166666666666773,0.588411241930905,-0.283248610478357,0.777104447645433
"3","stateArizona",-0.0666666666667838,0.424309380768292,-0.157118059813034,0.875215740346276
"4","stateArkansas",0.499999999999898,0.526291014273047,0.95004472134212,0.342552210105963
"5","stateCalifornia",-0.291666666666779,0.399079920855613,-0.730847761123778,0.465217236215473
"6","stateColorado",-0.3095238095239,0.410082654516033,-0.754783959075738,0.450736842640415
"7","stateConnecticut",0.56410256410246,0.412856638708748,1.3663400590257,0.172451350987759
"8","stateDelaware",0.388888888888792,0.42971481372694,0.904992977821586,0.36590847636696
"9","stateFlorida",0.499999999999906,0.401961401746903,1.24390052832668,0.214123715670331
"10","stateGeorgia",0.371794871794764,0.412856638708745,0.900542311630483,0.36826874885751
"11","stateHawaii",1.23333333333326,0.470728993544746,2.62004964692286,0.0090611758130227
"12","stateIdaho",-0.166666666666778,0.42430938076829,-0.392795149532158,0.69463954029126
"13","stateIllinois",0.458333333333219,0.399079920855607,1.1484750531938,0.251326071659027
"14","stateIndiana",0.333333333333222,0.42430938076828,0.785590299063548,0.432482652801049
"15","stateIowa",0.566666666666546,0.40766326670762,1.39003612281056,0.165141402851166
"16","stateKansas",0.29166666666656,0.416069579295761,0.70100454630746,0.483628909574346
"17","stateKentucky",0.133333333333215,0.424309380768267,0.314236119625255,0.753473838269827
"18","stateLouisiana",1.22222222222211,0.42971481372693,2.84426364458265,0.00463531457511751
"19","stateMaine",1.02083333333323,0.436377456219823,2.33933563428398,0.0197140151812744
"20","stateMaryland",0.280701754385847,0.400447417452949,0.700970320076613,0.483650250610084
"21","stateMassachusetts",0.520833333333227,0.405534462252697,1.28431337361579,0.199631870689588
"22","stateMichigan",0.297619047618933,0.410082654516023,0.725753806803122,0.468332004606487
"23","stateMinnesota",0.483333333333217,0.424309380768277,1.13910593364226,0.255208809847876
"24","stateMississippi",1.16666666666656,0.455781388143935,2.55970668617589,0.0107713935223025
"25","stateMissouri",0.499999999999898,0.407663266707632,1.22650246130341,0.220591569052457
"26","stateMontana",0.133333333333222,0.470728993544739,0.283248610477929,0.777104447645761
"27","stateNebraska",0.283333333333215,0.424309380768271,0.667751754203974,0.504602641416886
"28","stateNevada",-0.803030303030418,0.419834991604594,-1.91272837921695,0.0563584179330119
"29","stateNew Hampshire",1.13333333333324,0.424309380768284,2.6710070168167,0.00781088946731696
"30","stateNew Jersey",0.0119047619046504,0.410082654516027,0.0290301522718639,0.976852219404959
"31","stateNew Mexico",-0.666666666666775,0.436377456219818,-1.52772939381853,0.127217167721811
"32","stateNew York",0.633333333333212,0.399079920855606,1.58698370986789,0.11315359285758
"33","stateNorth Carolina",0.395833333333221,0.436377456219822,0.90708932757934,0.364800030002606
"34","stateNorth Dakota",0.333333333333226,0.492300165286876,0.67709368559522,0.498662179572603
"35","stateOhio",0.466666666666559,0.40766326670763,1.14473563054982,0.252870772445338
"36","stateOklahoma",0.58333333333322,0.492300165286869,1.1849139497918,0.236618896485091
"37","stateOregon",-0.303030303030408,0.419834991604588,-0.721784294044291,0.470767225012275
"38","statePennsylvania",0.858333333333217,0.39907992085561,2.15078055416316,0.0319759950620014
"39","stateRhode Island",0.708333333333222,0.43637745621982,1.62321248093166,0.105179340550098
"40","stateSouth Carolina",0.619047619047505,0.444797089938251,1.39175285326944,0.164621041760331
"41","stateSouth Dakota",0.583333333333221,0.455781388143937,1.27985334308781,0.201195010457229
"42","stateTennessee",1.06060606060595,0.419834991604591,2.52624502915386,0.0118389919049389
"43","stateTexas",0.366666666666552,0.407663266707626,0.899435138289082,0.368857377051103
"44","stateUtah",-0.59523809523821,0.444797089938253,-1.33822389737496,0.181436603541094
"45","stateVermont",0.833333333333217,0.436377456219817,1.90966174227259,0.0567533573856458
"46","stateVirginia",0.00980392156851477,0.403646781892403,0.0242883679700143,0.980632359620351
"47","stateWashington",-0.229166666666778,0.405534462252693,-0.565097884391344,0.572262686964349
"48","stateWest Virginia",0.458333333333222,0.49230016528687,0.93100381769351,0.352304503467349
"49","stateWisconsin",0.733333333333222,0.399079920855611,1.83756008511023,0.0667252316613045
"50","stateWyoming",-0.166666666666778,0.526291014273041,-0.316681573780987,0.751618470774156
